name,province,lat,lng
北京,北京,39.9042,116.4074
西安,陕西,34.3416,108.9398
南京,江苏,32.0603,118.7969
杭州,浙江,30.2741,120.1551
成都,四川,30.5728,104.0668
广州,广东,23.1291,113.2644
哈尔滨,黑龙江,45.7567,126.6528
苏州,江苏,31.299,120.5853
大理,云南,25.6065,100.2676
厦门,福建,24.4798,118.0894
长沙,湖南,28.2282,112.9388
拉萨,西藏,29.65,91.1
上海,上海,31.2304,121.4737
重庆,重庆,29.563,106.5516
武汉,湖北,30.5928,114.3055
天津,天津,39.3434,117.3616
青岛,山东,36.0671,120.3826
济南,山东,36.6512,117.1201
郑州,河南,34.7466,113.6254
洛阳,河南,34.6197,112.454
开封,河南,34.7973,114.3076
合肥,安徽,31.8206,117.2272
福州,福建,26.0745,119.2965
泉州,福建,24.8741,118.6759
深圳,广东,22.5431,114.0579
珠海,广东,22.2711,113.5767
南宁,广西,22.817,108.3669
桂林,广西,25.2736,110.29
昆明,云南,24.8801,102.8329
贵阳,贵州,26.647,106.6302
呼和浩特,内蒙古,40.8426,111.7492
银川,宁夏,38.4872,106.2309
兰州,甘肃,36.0611,103.8343
乌鲁木齐,新疆,43.8256,87.6168
三亚,海南,18.2528,109.5119
